JoiningYear,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,Irrelevant_Predictor1,Irrelevant_Predictor2,Irrelevant_Predictor3
2012,3,29,Female,No,4,0.26577486443074394,1.7635177951118697,a1
2016,3,27,Female,No,5,0.34203509928148323,0.9121564244764402,a1
2012,3,25,Male,No,3,0.3479521532133095,4.822521691510712,a2
2016,3,24,Female,No,2,0.46393369114536154,2.553088451381807,a1
2017,2,26,Female,Yes,4,0.42187117054004963,4.362658371112462,a2
2015,3,34,Male,No,4,0.9620058865118077,3.9121934175911237,a1
2014,2,31,Male,No,3,0.316116742169271,3.718504817333002,a2
2017,3,26,Female,No,4,0.5596192512960473,3.1194679857975753,a2
2018,3,26,Male,No,4,0.2115629761381016,0.20887470703385091,a2
2015,2,28,Female,No,3,0.9746067838545087,2.0053529274339246,a1
2013,3,27,Female,No,5,0.6557037467511408,2.7773199093770744,a2
2013,3,33,Male,No,3,0.6435528603426517,4.974757469074643,a2
2013,3,31,Female,Yes,3,0.6180242712649608,3.236230259137906,a1
2016,3,27,Male,Yes,5,0.9432233836931513,3.78748324811073,a1
2013,3,25,Female,No,3,0.9345187751127143,0.7713332115019567,a2
2016,3,34,Male,Yes,4,0.2718401385101603,3.3304721082069806,a2
2013,3,25,Male,No,3,0.17888737477384375,3.309467375940546,a2
2017,2,26,Male,No,4,0.845846921653284,0.09114153320304907,a1
2014,2,25,Female,No,3,0.5356870088061609,1.816765081549729,a1
2014,3,26,Male,No,4,0.9076950706653084,4.655308323044469,a2
2016,3,37,Female,No,0,0.0044087444207557835,0.08399713846229839,a2
2017,1,28,Female,No,3,0.3491461094703031,0.5084806646192969,a1
2012,3,35,Male,No,5,0.6418372982910642,4.583228641905787,a2
2013,3,26,Male,No,4,0.336918492262424,2.4184745128506218,a2
2012,3,25,Male,No,3,0.6362201218194105,1.8385267738605593,a2
2017,3,25,Female,No,3,0.35044973115036815,3.7763579933709597,a1
2015,2,34,Female,No,2,0.9791803779259137,4.146404184256144,a2
2015,2,24,Female,No,2,0.9189007110637631,4.128288017325335,a1
2017,2,27,Male,No,5,0.9478008598027894,0.4601541230840528,a2
2012,3,31,Male,Yes,0,0.8585191196235262,2.7820985713585205,a1
2013,3,31,Male,No,0,0.5705294501928823,3.6230662553264867,a2
2012,3,27,Male,No,5,0.7631097756602339,3.5998836422613287,a2
2013,3,27,Male,Yes,5,0.3695391330244523,2.1412761931846296,a2
2012,3,28,Male,Yes,3,0.2888659212336647,2.8076949523347916,a1
2012,3,25,Male,No,3,0.8817924825624448,2.735273776190467,a2
2013,2,26,Male,Yes,4,0.7064801299420898,0.7434540841662368,a1
2012,3,26,Female,No,4,0.5469705695836472,1.3029370307124044,a1
2017,3,24,Female,No,2,0.05649170317100949,0.23932276471526348,a2
2016,3,26,Male,Yes,4,0.6721930890845028,1.073854824594778,a1
2017,1,38,Female,No,1,0.9109609919854382,4.814286810350389,a2
2018,3,27,Female,No,5,0.01807118575775135,0.774334460861319,a1
2014,3,37,Male,No,1,0.20491611270245402,4.5775462635242405,a2
2015,2,29,Female,No,1,0.065837206697683,1.1918884208389458,a2
2017,3,24,Male,Yes,2,0.6755069537241795,2.3962221948074633,a1
2012,3,27,Male,No,5,0.0824786441215648,1.8791801605064014,a2
2015,2,26,Female,No,4,0.40481064547137346,2.952800993494594,a1
2017,2,34,Female,No,5,0.19405023674313449,0.3286053853296156,a1
2017,3,30,Male,No,5,0.13624067259900607,2.9434206548986426,a2
2016,3,27,Male,No,5,0.8542726817938998,0.5221184010329272,a1
2016,3,28,Female,No,2,0.8832276434030172,3.0904580241962067,a1
2012,3,39,Female,No,2,0.8996124324090489,2.2794936724839148,a1
2014,2,36,Female,No,3,0.9741133697465462,1.8299921007021402,a2
2013,3,35,Female,No,4,0.06758295955891935,2.62158027916438,a1
2017,3,35,Male,No,2,0.7333338049231867,2.324451458598017,a2
2012,1,29,Female,No,1,0.28941326123396083,1.4579685563501106,a2
2015,1,28,Female,No,2,0.24300306157007123,4.337110250961641,a2
2015,3,27,Male,No,5,0.9950014882811913,3.4043586298027977,a2
2013,1,41,Male,No,5,0.8176926698206822,3.5149320037046894,a2
2015,3,26,Male,No,4,0.7847009878568454,1.8086619610155634,a2
2015,2,36,Female,No,0,0.35386401136738366,1.4758386394275824,a1
2013,3,27,Male,No,5,0.071400315414888,2.5927830103225222,a1
2014,3,23,Male,No,1,0.5650592979729993,2.8487203947435273,a2
2013,2,32,Male,No,2,0.7231758164813353,0.6904895991272614,a2
2015,3,37,Male,No,4,0.13264518174187845,0.4782771043594808,a1
2013,3,28,Male,No,2,0.2543482791678019,1.0573431328341791,a2
2015,3,22,Male,No,0,0.5533501076256393,1.4302026472065839,a1
2014,3,40,Male,No,4,0.4208785912940243,4.8210890865051175,a1
2015,1,41,Male,No,1,0.9234432516307177,3.0765543362795604,a2
2016,3,30,Male,No,2,0.9559527517060115,3.127809424524818,a1
2015,2,26,Female,No,4,0.23846220734124457,4.981496461976191,a2
2017,2,25,Female,No,3,0.09745390236984108,4.390780217452967,a1
2015,3,29,Female,No,3,0.5064535250822194,2.2683366752310015,a2
2013,3,30,Female,No,1,0.10026174027596513,4.553248425700667,a2
2015,3,25,Male,No,3,0.3676579976147586,2.881060011614094,a2
2017,2,26,Female,No,4,0.16093637470137268,0.8893521192354686,a1
2015,3,26,Male,No,4,0.34978518748016607,1.0901610659058796,a2
2014,2,26,Male,No,4,0.8285260872266811,0.7407582840128202,a1
2015,3,31,Male,No,1,0.5484203104301347,1.819044424104298,a1
2014,3,24,Male,No,2,0.016982224421156045,2.5371386539272036,a2
2012,3,26,Male,No,4,0.8121046937821722,0.07438348255386695,a2
2014,3,26,Female,No,4,0.09572116349986615,4.5177638979727535,a2
2017,3,24,Male,No,2,0.3506325648183214,1.2734153375768158,a2
2018,3,25,Male,Yes,3,0.9279872288840822,3.8567306226722096,a1
2016,3,28,Male,No,2,0.8355623551677628,4.665852556698818,a1
2015,2,26,Female,Yes,4,0.07290229271782311,0.022535681301956156,a2
2012,3,30,Female,Yes,1,0.759690892147266,0.10049900978013615,a2
2015,3,33,Male,No,5,0.007449043768428809,2.971413159607848,a2
2012,3,28,Female,No,1,0.663875864303481,3.4946298714001016,a1
2017,3,24,Male,No,2,0.278908146108202,1.030049603861623,a2
2013,2,26,Male,Yes,4,0.43079857910525354,0.5486897783862832,a1
2012,3,26,Male,No,4,0.11888037401715112,1.973384956459714,a1
2016,3,41,Male,No,5,0.24950793029219465,3.316663972107286,a2
2014,1,22,Female,No,0,0.8619489791564581,3.476379161453422,a2
2014,3,26,Male,No,4,0.3879530889301174,0.9287198493143772,a1
2017,3,28,Male,No,1,0.2383346879546685,3.329282117716663,a2
2012,3,38,Male,No,2,0.9186932552887338,0.3213687214495281,a2
2018,3,27,Female,No,5,0.2122692023780528,2.7275650391995137,a2
2016,3,29,Male,No,0,0.08892193195114517,3.0563788270348864,a2
2015,3,28,Male,No,2,0.6649638148424573,4.117022294335551,a1
2017,2,38,Male,No,0,0.8459022309614778,4.563743039576145,a2
2013,3,22,Male,No,0,0.7447074088173239,2.8234337892169536,a2
2018,3,26,Male,No,4,0.3421180066876012,3.031996270337343,a2
2013,2,29,Female,No,2,0.24532972726538238,0.5265548600307074,a2
2013,3,24,Male,No,2,0.9011134795381115,2.3902482273404777,a2
2015,3,26,Male,No,4,0.8578434844524744,3.3569249944067985,a2
2013,3,29,Male,No,2,0.501380357636043,4.723037800130372,a2
2017,3,38,Male,No,5,0.9847676427194587,2.007454463556436,a1
2017,2,25,Female,No,3,0.5898260683396213,0.1659959360863661,a2
2015,3,33,Female,No,2,0.6573425801744508,4.073550273004741,a1
2017,3,26,Female,No,4,0.7418385923457648,0.1746910065680679,a1
2017,3,28,Male,No,1,0.09684223962127136,1.2572353159926801,a1
2015,2,39,Female,No,2,0.5822547948746772,2.686229348170872,a2
2017,3,24,Male,No,2,0.9137737769793237,3.0461947519326493,a1
2016,1,26,Male,No,4,0.5306438166582815,1.2576639712017808,a1
2015,2,28,Female,No,3,0.7265213064147982,2.9951192580099724,a2
2013,2,25,Male,No,3,0.5615906983081503,1.841075730152832,a2
2018,3,39,Female,No,6,0.6206310074075109,0.08021607378648765,a2
2016,3,27,Male,No,5,0.5618697670595316,2.988380201254061,a2
2015,2,27,Female,Yes,5,0.5643959300011772,0.7642077799304031,a1
2017,2,27,Male,No,5,0.8791472279299493,1.5285253919503523,a1
2018,3,26,Female,No,4,0.9830510023660712,2.064329251124894,a2
2017,2,34,Male,No,2,0.3648776882289362,2.2264215945846866,a1
2016,1,24,Male,No,2,0.5562257366702161,4.372546007020361,a1
2015,3,38,Male,No,1,0.968013706256957,3.5713003064643556,a1
2016,3,28,Female,No,3,0.8133319101341308,3.9716389720024687,a1
2017,3,25,Male,No,3,0.12682427783807604,4.94374906799105,a1
2016,3,27,Male,No,5,0.9267750398803595,1.5131061322978512,a1
2015,3,32,Male,No,0,0.931578561503255,4.4251537368219696,a1
2015,3,37,Female,No,1,0.9454078061239956,2.4701770309657745,a2
2017,2,28,Female,No,2,0.06642963619487519,4.944248372758594,a2
2013,3,25,Female,No,3,0.002481921026347922,3.1802750780983096,a1
2014,3,28,Male,No,5,0.40479887375140944,2.970738760431726,a2
2013,2,25,Female,No,3,0.7894653017106109,0.18772941800965282,a1
2017,3,28,Male,No,2,0.5426621658436225,1.1885957432545218,a1
2014,3,40,Female,No,0,0.6224054554367414,4.451926040038541,a2
2015,3,27,Male,No,5,0.1663808255938981,1.8371845244802665,a2
2015,3,22,Female,No,0,0.17539977467695345,2.2409680495692097,a1
2018,3,28,Male,No,1,0.22615817884132727,2.442251024828497,a1
2018,3,36,Female,Yes,1,0.13576153799742474,2.7760033660441428,a2
2012,3,26,Male,No,4,0.8290405997403137,3.373268851251488,a2
2016,3,25,Female,No,3,0.5887802575595443,3.394462933177417,a1
2014,2,34,Female,No,2,0.35137390478959774,3.7580944829886405,a2
2014,3,27,Male,No,5,0.9250910551101958,2.5106353082325663,a2
2013,2,28,Male,No,2,0.5253646978221871,1.440178757519568,a2
2015,2,25,Female,Yes,3,0.8545508996734016,3.5449421453761283,a2
2012,3,37,Male,No,5,0.9443796836200613,4.931556943539318,a1
2017,3,26,Female,No,4,0.36981024811857877,2.7078404426186276,a2
2015,3,24,Male,No,2,0.9346228192127554,0.2679375019251107,a2
2014,3,27,Male,No,5,0.8545294018078246,1.9493168384120174,a1
2014,2,27,Male,No,5,0.1162397247899638,0.35035896852787574,a2
2018,3,24,Male,No,2,0.5016368137537347,0.5365343134630002,a2
2015,2,26,Female,Yes,4,0.5373642329219895,1.4922857683271507,a2
2014,2,27,Female,No,5,0.028084396918188204,1.4458236071982218,a2
2016,3,24,Female,No,2,0.6070329567226859,0.1641882609878459,a1
2017,2,26,Male,No,4,0.996278255696617,0.41287344524001013,a2
2017,2,36,Male,No,2,0.18169886355896914,1.9615954347437388,a2
2014,3,35,Female,No,4,0.23293005564265168,2.3145627981228905,a2
2018,3,24,Male,No,2,0.3119837772934331,3.994743809844097,a1
2014,3,27,Female,No,5,0.1757736233188334,3.829839231783172,a2
2016,2,35,Female,No,4,0.13401104033227795,2.6147284295672923,a2
2017,2,26,Female,No,4,0.19567947725615065,0.8452056684226678,a1
2016,3,24,Male,Yes,2,0.38331058185640565,0.8967212024738347,a2
2015,3,30,Female,No,0,0.9795663822128784,2.006933081152064,a2
2014,3,27,Female,No,5,0.17609002769298632,2.7360259289879325,a2
2017,3,28,Male,No,3,0.333658845369025,2.0645610205256477,a1
2012,3,26,Female,No,4,0.7449574733229343,2.618296451750007,a2
2017,2,28,Male,No,5,0.0677237487941692,3.8272480290089304,a1
2013,2,32,Female,No,4,0.39212027963674667,4.46910883413155,a1
2015,3,26,Male,No,4,0.3500804629065397,4.185957683060611,a2
2015,2,33,Female,Yes,3,0.1580362953751674,1.6854628599511867,a1
2013,3,35,Male,No,0,0.10153398656690171,2.4417348082966344,a1
2017,3,40,Female,No,1,0.8847174081785104,3.184623772663821,a2
2013,3,27,Female,No,5,0.6884920279385279,4.748651672729064,a1
2014,3,26,Male,No,4,0.7229724156908777,1.64071097812106,a1
2016,3,29,Male,No,2,0.14237953477186815,2.310211624759954,a1
2013,2,28,Female,No,2,0.6128893107529153,4.309147734622629,a2
2016,3,27,Female,No,5,0.9564741465318137,1.1408301788006636,a1
2012,1,27,Male,No,5,0.9540052194937197,3.1503948933406054,a1
2017,2,25,Female,No,3,0.7940383140125702,4.966657647351727,a1
2018,3,28,Male,No,2,0.44695396688055644,4.523726960888019,a2
2013,3,28,Female,No,1,0.6158911713296126,1.0214666100887966,a1
2017,2,22,Male,No,0,0.8641843907662836,3.8461786275397,a1
2018,2,34,Female,No,4,0.5448527631920494,3.93030322388662,a1
2017,2,27,Female,No,5,0.2743778741711861,2.587988911381301,a2
2014,1,26,Female,No,4,0.8891249495978989,3.829041281816009,a2
2015,3,39,Female,No,0,0.6850440104584936,1.5794872833744682,a1
2017,2,26,Female,No,4,0.2741084647779878,4.307740923422223,a1
2014,3,37,Male,No,4,0.037059021572026896,4.005523249781459,a2
2017,2,28,Male,No,0,0.1328330959291889,4.116576093823847,a1
2015,2,28,Female,No,1,0.645830775707573,1.2212553178990049,a2
2017,3,36,Female,No,0,0.39420082022550895,0.5416250568750602,a1
2017,2,23,Male,No,1,0.4072384894751545,0.9510976998499471,a2
2012,3,36,Female,No,3,0.8055099679740918,1.2317284386445304,a2
2014,3,30,Male,No,2,0.9040840120209359,3.1102018119183765,a2
2013,3,24,Female,No,2,0.37856214274907696,4.336537163117689,a2
2015,3,28,Male,No,1,0.8302864347758321,1.2454460186646026,a1
2017,2,40,Female,No,2,0.9105060610216537,0.6054642883243888,a1
2014,3,24,Male,No,2,0.8081137474517862,4.674344683119251,a2
2013,3,25,Male,No,3,0.349321262218933,2.9641848492845746,a1
2014,3,38,Female,No,2,0.9115860972700038,2.5635674218110234,a1
2017,2,28,Male,Yes,2,0.4501962575177204,3.810162062821147,a1
2014,3,38,Female,No,4,0.8297517401764672,4.72698566412674,a2
2012,3,32,Female,No,0,0.2439999250167212,3.7010702862526648,a2
2016,3,26,Male,No,4,0.9008224970141072,4.575587743909486,a2
2015,3,26,Female,No,4,0.3506464863287767,3.5183825073991795,a1
2014,1,28,Male,No,1,0.20078535342101655,1.390779545035481,a2
2013,3,28,Male,No,1,0.3983482115599464,0.5367595653892049,a2
2014,3,22,Male,No,0,0.23627152724328326,2.1969945346743165,a1
2016,3,28,Male,No,2,0.3636611024002083,1.6449874831399325,a1
2012,3,37,Male,No,3,0.528179097882963,0.771873460997522,a2
2017,3,27,Male,No,5,0.4477381546113648,3.9787948761569907,a1
2016,3,40,Male,No,0,0.3413178615196508,3.598263790906003,a2
2016,3,27,Male,No,5,0.39589210835240807,2.741852453794876,a2
2014,3,24,Male,No,2,0.6280141496641065,3.927131226713688,a2
2014,3,28,Male,No,4,0.22984461722525307,3.775886435292292,a1
2018,3,26,Male,No,4,0.4936473089986725,0.2168090557946023,a2
2017,2,30,Male,No,4,0.3682660424446571,1.9080952684217911,a1
2013,3,31,Male,Yes,4,0.3313265305409915,1.016308896943151,a1
2014,3,36,Male,No,1,0.7282384523878909,2.0908872463489603,a2
2017,3,31,Male,No,0,0.6718598006155004,4.21363423877142,a1
2015,2,28,Female,Yes,1,0.09746654198513749,4.016614214463132,a2
2013,3,25,Male,No,3,0.25353584198094525,3.3940479341617156,a1
2017,2,32,Female,No,4,0.5300577857587704,2.3956815872525254,a2
2015,3,26,Male,No,4,0.6110182305797978,2.059644924121879,a2
2012,3,37,Male,No,4,0.013133347383255445,1.079917553944485,a2
2012,3,36,Male,No,2,0.40121376524347696,0.28421131067488115,a2
2015,3,31,Male,No,1,0.7169120746371948,3.961828001781842,a2
2012,1,27,Female,No,5,0.8193258507709783,3.3987392143143946,a1
2012,3,28,Female,No,1,0.7237480616753132,3.1639438238346633,a1
2015,3,28,Female,No,1,0.5399613483113783,1.660502164631833,a1
2015,3,29,Male,No,1,0.3880394438308279,4.853330738860023,a1
2017,3,34,Female,Yes,0,0.8052094881711906,3.7569341120475874,a1
2016,3,38,Male,No,2,0.6458752767128987,1.5150909123257876,a1
2015,3,28,Female,No,1,0.133306232234503,1.4640529710247607,a1
2017,2,35,Male,No,1,0.5646807497948738,2.9205686527915775,a2
2017,2,26,Female,No,4,0.5999621762951225,4.813906430247296,a1
2015,2,35,Female,Yes,2,0.20020881950321323,0.46487687577111525,a2
2017,3,37,Male,No,2,0.5298866273575751,4.966797472790137,a2
2014,3,26,Male,No,4,0.5760602516422231,4.981564890201701,a1
2017,2,26,Female,No,4,0.38660955286752685,3.5456113012884565,a1
2012,3,34,Female,No,2,0.5691996628270085,1.8150488624533678,a1
2018,3,24,Male,No,2,0.5922773901685925,3.1030018568749806,a1
2018,3,35,Male,No,1,0.2078894634153362,4.297403220136737,a1
2014,2,35,Male,No,2,0.44650733654960706,3.391435469771333,a2
2014,3,27,Male,No,5,0.2562607508083701,1.9669002514584544,a2
2012,3,32,Female,No,2,0.055668968099251925,0.48219446718572145,a1
2016,3,25,Male,No,3,0.45343107587221265,0.2868602271895787,a1
2013,2,26,Male,No,4,0.7428992038212642,4.789520991381479,a1
2017,3,32,Female,No,4,0.9940585343418611,1.1334260162117793,a1
2013,3,28,Male,Yes,1,0.8655336102973771,1.3864662941813155,a1
2015,3,26,Female,No,4,0.09676919039377874,1.0947309269651284,a1
2014,3,24,Male,No,2,0.8602167602113512,1.9574090785654192,a2
2015,3,28,Female,No,1,0.6332918491863507,2.0578793200205343,a1
2017,2,28,Female,No,1,0.8601433827058013,2.7968723102780135,a1
2016,3,24,Male,No,2,0.236828086364808,2.278256309644824,a2
2016,3,39,Male,No,0,0.8516629594789106,4.088277802933219,a1
2014,3,28,Female,No,1,0.3006402705279181,1.9461038928736096,a2
2014,3,27,Male,No,5,0.5241443451949497,3.27533654054011,a1
2018,3,25,Male,No,3,0.05495839615281961,1.427781008300832,a2
2017,3,29,Male,No,2,0.33925513053464385,1.7091592236538489,a2
2015,3,32,Male,No,0,0.28332236960443424,2.05781868124808,a2
2012,1,32,Male,No,1,0.4943080803168588,3.380285744774105,a1
2015,3,30,Male,No,4,0.5929084543203704,0.7327746265745122,a2
2014,3,29,Female,No,2,0.10973894214437463,3.639668565699528,a2
2015,3,28,Female,Yes,1,0.8352643604714871,4.4241063756917995,a1
2016,3,25,Male,Yes,3,0.5687843323609187,1.347570168470914,a1
2017,3,26,Female,No,4,0.5191083771693626,1.7731869978016124,a2
2015,2,27,Female,Yes,5,0.1885976875414792,2.9937943153292714,a1
2015,2,31,Female,No,1,0.7602798310837501,2.117954620270664,a2
2015,3,24,Male,No,2,0.2308577340669843,3.290482415216913,a1
2018,3,32,Male,Yes,2,0.5494520822529341,3.8844211514770994,a1
2017,3,25,Male,No,3,0.08267407890501588,4.947233220221051,a1
2016,3,26,Male,No,4,0.8783868469390431,0.9263998183192157,a1
2015,3,28,Male,No,2,0.1130754017631056,3.9654718374721543,a2
2014,1,27,Male,No,5,0.2632993549938374,0.04198749027974069,a2
2013,2,33,Female,No,2,0.34020687020344886,3.7453064111332504,a2
2016,3,27,Female,No,5,0.3543214977448659,3.1773425043538244,a1
2012,3,27,Female,No,5,0.9620880469823438,3.6774803837756513,a2
2015,3,29,Male,No,4,0.03152498840961737,2.3803276662051234,a1
2018,3,27,Male,Yes,5,0.777326391311184,4.623730094777571,a1
2012,3,29,Male,No,1,0.6557652644705435,3.092025625263291,a2
2016,3,36,Male,Yes,3,0.688590711149912,2.87521659053781,a2
2013,3,37,Male,No,1,0.9444744627459595,2.0574021053013656,a1
2016,3,24,Female,No,2,0.5371116640478005,1.543334386005311,a1
2012,3,24,Male,No,2,0.01449873518253808,4.1094541162827145,a2
2013,2,25,Male,No,3,0.2780625290662566,2.9639766771037235,a1
2018,3,28,Male,No,0,0.12026573259647677,0.9243480160320949,a1
2013,3,35,Male,Yes,1,0.45499665732350003,1.0877465082364708,a1
2016,3,25,Male,No,3,0.762728604107031,2.601023621513208,a1
2015,3,24,Female,No,2,0.06868285662966789,4.311564096684308,a2
2012,3,37,Male,No,4,0.4582237061802351,0.44057440259811287,a1
2017,2,37,Male,No,2,0.12138453035787833,0.2621163766673712,a2
2017,3,33,Male,No,2,0.4508711700875452,4.573339798090437,a1
2013,3,27,Male,No,5,0.9968739311345032,3.218941038780691,a2
2014,3,32,Male,Yes,2,0.2934169860273892,0.8225194233522304,a2
2015,3,25,Male,No,3,0.18543101053287891,3.1883830734307668,a2
2018,3,28,Male,No,4,0.9508083302401248,2.6024838163156963,a1
2012,3,25,Male,No,3,0.4730349842682615,3.174109270951565,a1
2012,3,38,Female,No,4,0.6290730888269789,0.12990188295357086,a2
2013,3,25,Female,Yes,3,0.25155677378915964,1.7074585794847392,a2
2014,3,23,Female,No,1,0.025591272854109115,4.665592100579438,a1
2017,3,26,Male,No,4,0.06860693785272765,4.708841143701346,a2
2012,3,27,Male,Yes,5,0.31875353104744797,2.9747301665976456,a1
2017,2,29,Male,No,2,0.4870469134865867,0.43940899336473493,a2
2015,2,27,Female,No,5,0.7614235680783837,1.3885385918213278,a1
2018,3,29,Male,No,2,0.5857199566373291,3.032285191646547,a1
2015,3,25,Female,No,3,0.1750660645228299,1.1248140431243825,a1
2013,3,24,Male,No,2,0.9867514105196385,3.959262678005133,a2
2014,3,26,Male,No,4,0.9493855865396308,4.1786179632105425,a1
2017,3,28,Female,No,1,0.20215998017684134,2.644220499546945,a1
2018,3,31,Male,Yes,0,0.35317299390528345,2.262069989223932,a2
2015,2,28,Female,No,1,0.017946312197642533,0.9547970690724272,a2
2013,3,26,Male,No,4,0.19662246576996933,1.091069988482471,a1
2016,3,37,Male,No,2,0.7619735955187661,4.787619543429994,a2
2012,3,28,Male,No,2,0.5513532405492094,4.7082135670222325,a1
2015,3,28,Male,No,0,0.018877887567717133,0.013171108384885666,a2
2015,3,30,Female,No,1,0.3245977181781937,4.439673000704122,a1
2012,3,24,Male,No,2,0.9482780223109569,1.72890992895383,a2
2015,3,35,Female,No,1,0.4433584102244825,1.4825372753819777,a2
2012,3,35,Female,No,2,0.7001740108358199,3.822954417008793,a1
2013,3,27,Male,No,5,0.45184577715084706,0.4395377905640052,a1
2015,3,24,Male,No,2,0.3204644112692806,4.072585853269489,a2
2015,3,28,Female,No,3,0.11577019171494984,4.363360895024466,a1
2017,2,28,Male,Yes,2,0.7647806758207486,2.68689130561302,a1
2015,3,28,Female,Yes,5,0.7670831495487297,0.009609459167980727,a1
2018,3,23,Female,No,1,0.6630630833434171,1.8729322569909412,a2
2015,3,25,Female,No,3,0.4806796160143728,4.132258814385367,a1
2014,3,27,Male,No,5,0.8289320313402725,4.701520751010654,a2
2013,3,30,Male,No,2,0.9081151361598241,0.5056163316494938,a2
2015,3,27,Male,No,5,0.08443586997517694,3.295155300697794,a2
2017,3,34,Male,No,1,0.34633280023668245,0.9828864460603809,a2
2017,2,29,Female,Yes,2,0.6615408777688907,1.5833834155915638,a1
2017,3,24,Male,No,2,0.621965077465387,2.303396009199366,a1
2016,3,26,Male,No,4,0.47506971097765993,3.47659817192039,a1
2014,3,25,Male,No,3,0.400954410878788,0.946651715028603,a2
2015,3,26,Female,No,4,0.3923422821765299,2.5231338897177995,a1
2017,3,28,Male,No,2,0.2336075940313701,4.948895929285708,a2
2017,2,25,Female,No,3,0.2520327927140702,3.1265383463882856,a2
2014,3,28,Female,No,3,0.9247897029598174,1.1208791010190748,a1
2018,3,34,Male,No,3,0.48206086442626384,3.3901865348649323,a1
2018,3,40,Female,No,2,0.2806324264599893,0.6729400321188239,a2
2014,3,26,Female,No,4,0.4637226599774066,1.6999783607850827,a2
2014,3,40,Female,No,3,0.23090778834543646,1.6911686544834914,a2
2017,3,28,Male,Yes,3,0.8119179861970021,4.958750800005859,a1
